CNTSCHID,CNTSTUID,ST001D01T,ST003D02T,ST003D03T,ST004D01T,ST250D06JA,ST250D07JA,PV1MATH,PV1READ,PV1SCIE
76400003,76400983,10,3,2007,1,7640002,7640001,599.06,407.511,553.423
76400003,76401133,10,4,2007,1,7640002,7640001,533.334,481.993,529.166
76400003,76401743,10,7,2006,1,7640002,7640001,316.919,310.021,345.007
76400003,76401748,10,2,2007,2,7640001,7640002,441.01,356.929,459.369
76400003,76401998,10,7,2006,1,7640002,7640002,397.185,352.206,431.121
76400003,76402330,9,5,2007,2,7640002,7640002,484.46,368.241,477.573
76400003,76402411,10,5,2007,1,7640001,7640002,373.509,273.382,383.145
76400003,76402817,10,8,2006,1,7640002,7640002,281.052,287.69,324.824
76400003,76403360,10,3,2007,2,7640001,7640002,447.005,412.55,457.35
76400003,76403607,10,6,2006,1,7640002,7640002,394.455,406.444,344.873
76400003,76403744,9,4,2007,1,7640002,7640002,363.529,258.163,344.818
76400003,76403822,9,5,2007,2,7640001,7640002,381.477,255.914,316.482
76400003,76403965,10,11,2006,1,7640002,7640002,448.641,355.132,407.627
76400003,76404404,9,5,2007,2,7640002,7640002,342.278,260.494,338.312
76400003,76404790,10,12,2006,1,7640001,7640002,440.638,516.215,476.662
76400003,76404980,10,4,2007,1,7640002,7640002,388.887,410.431,417.244
76400003,76405017,10,4,2007,1,7640002,7640002,449.067,356.68,512.536
76400003,76405122,10,12,2006,1,7640001,7640002,551.093,522.14,558.954
76400003,76405133,10,12,2006,2,7640002,7640002,403.296,382.653,411.807
76400003,76406005,10,1,2007,2,7640001,7640002,564.727,477.137,579.085
76400003,76406626,10,2,2007,1,7640001,7640002,567.636,488.094,492.534
76400003,76406629,10,8,2006,2,7640002,7640002,498.714,385.032,413.43
76400003,76407086,10,11,2006,2,7640002,7640002,486.567,384.676,442.178
76400003,76407425,9,2,2007,1,7640002,7640002,474.288,568.235,451.175
76400003,76407479,10,11,2006,1,7640001,7640002,509.97,371.956,395.24
